order_number,order_line_number,external_order_id,order_date,order_type,order_status,channel,source_system,customer_id,customer_name,customer_po_number,customer_email,customer_phone,sku,item_number,product_name,product_category,subcategory,brand,unit_of_measure,quantity_ordered,quantity_allocated,quantity_shipped,quantity_backordered,unit_price,extended_price,discount_percent,discount_amount,tax_rate,tax_amount,freight_amount,order_total,currency,payment_terms,payment_method,payment_status,invoice_number,invoice_date,warehouse_id,warehouse_location_code,zone,aisle,rack,shelf,bin,ship_to_name,ship_to_address1,ship_to_address2,ship_to_city,ship_to_state,ship_to_postal_code,ship_to_country,carrier,service_level,tracking_number,requested_ship_date,actual_ship_date,created_by,created_timestamp,last_modified_timestamp
SO-2025-000011,1,EXT-MAR-40948376,2025-10-04,Sales Order,Shipped,Marketplace,ERP,CUST-000455,Thomas Perez,PO-572340,thomas.perez455@examplecustomer.com,(536) 812-2122,AUD-APE-A129-PRO-0118,ITM-000118,ApexTech A129-PRO Conference Speaker,Audio,Conference Speaker,ApexTech,EA,100,100,100,0,913.00,91300.00,0.00,0.00,7.5000,6847.50,49.99,98197.49,USD,ACH Prepaid,ACH,Pending,INV-2025-000011,2025-10-06,WH-MIA-01,Z16-A15-R029-S03-B05,Z16,A15,R029,S03,B05,Thomas Perez,3677 Oak Rd,,Phoenix,AZ,85084,USA,Old Dominion,Overnight,OL94736657506,2025-10-07,2025-10-06,kpatel,2025-10-04 13:28:00,2025-10-14 23:16:00
SO-2025-000012,1,EXT-RET-95739794,2025-06-09,Sales Order,Allocated,Retail Store,Manual Entry,CUST-000029,Carol Allen,,carol.allen29@examplecustomer.com,(660) 747-4114,ROU-ZEN-N720-MAX-0520,ITM-000520,Zenith Digital N720-MAX 5G Router,Router,5G Router,Zenith Digital,EA,3,3,0,0,871.61,2614.83,10.00,261.48,8.2500,194.15,7.99,2555.49,USD,Credit Card,Visa,Refunded,INV-2025-000012,2025-06-09,WH-MIA-01,Z04-A24-R063-S01-B05,Z04,A24,R063,S01,B05,Carol Allen,116 Madison Ct,Dock 7,Miami,FL,33169,USA,Old Dominion,Overnight,,2025-06-13,,mchen,2025-06-09 00:33:00,2025-06-18 05:15:00
SO-2025-000013,1,EXT-WHO-95536309,2025-08-04,Sales Order,Backordered,Wholesale,ERP,CUST-000746,Stephanie Silva,,stephanie.silva746@examplecustomer.com,(287) 467-9821,STO-SIG-A230-BK-0537,ITM-000537,SignalMax A230-BK External HDD,Storage,External HDD,SignalMax,EA,24,0,0,24,52.68,1264.32,5.00,63.22,7.5000,90.08,12.99,1304.17,USD,COD,Visa,Invoiced,INV-2025-000013,2025-08-06,WH-MIA-01,Z18-A37-R092-S04-B03,Z18,A37,R092,S04,B03,Stephanie Silva,846 Doral Ave,,Tampa,FL,33698,USA,UPS,Ground,,2025-08-07,,mchen,2025-08-04 12:50:00,2025-08-10 12:27:00
SO-2025-000014,1,EXT-RET-54229172,2025-02-26,Replacement,Backordered,Retail Store,Manual Entry,CUST-000668,Michael Martin,PO-120772,michael.martin668@examplecustomer.com,(448) 810-9543,KEY-QUA-G586-WH-0569,ITM-000569,QuantumGear G586-WH Gaming Keyboard,Keyboard,Gaming Keyboard,QuantumGear,EA,1,0,0,1,197.58,197.58,10.00,19.76,6.0000,10.67,49.99,238.48,USD,Net 15,Amex,Refunded,INV-2025-000014,2025-02-26,WH-MIA-01,Z13-A23-R093-S03-B02,Z13,A23,R093,S03,B02,Michael Martin,7773 Magnolia Ave,Dock 9,Chicago,IL,60693,USA,XPO,Overnight,,2025-03-03,,edi_user,2025-02-26 23:37:00,2025-03-06 14:56:00
SO-2025-000015,1,EXT-WHO-24326654,2025-01-29,Sales Order,Shipped,Wholesale,Manual Entry,CUST-000613,Richard Walker 613,,richard.walker613@examplecustomer.com,(828) 780-2507,AUD-QUA-P178-BK-0139,ITM-000139,QuantumGear P178-BK Soundbar,Audio,Soundbar,QuantumGear,EA,1,1,1,0,172.28,172.28,20.00,34.46,0.0000,0.00,99.99,237.81,USD,Net 30,PayPal,Pending,INV-2025-000015,2025-01-30,WH-MIA-01,Z02-A33-R076-S01-B04,Z02,A33,R076,S01,B04,Richard Walker 613,2997 Miramar Ln,,Seattle,WA,98125,USA,XPO,2-Day,XP33654181176,2025-02-01,2025-02-05,mchen,2025-01-29 18:00:00,2025-02-08 11:55:00
SO-2025-000016,1,EXT-E-C-82412340,2025-09-24,Sales Order,Processing,E-commerce,Shopify,CUST-000248,George Walker,PO-881333,george.walker248@examplecustomer.com,(777) 609-2936,ACC-APE-X710-PRO-0009,ITM-000009,ApexTech X710-PRO Webcam,Accessory,Webcam,ApexTech,EA,12,12,0,0,199.77,2397.24,0.00,0.00,8.7500,209.76,7.99,2614.99,USD,ACH Prepaid,Mastercard,Authorized,INV-2025-000016,2025-09-24,WH-MIA-01,Z13-A19-R071-S03-B02,Z13,A19,R071,S03,B02,George Walker,2766 Weston Ave,,Houston,TX,77070,USA,FedEx,Priority,,2025-09-26,,kpatel,2025-09-24 11:33:00,2025-10-01 12:06:00
SO-2025-000017,1,EXT-WHO-93896734,2025-05-02,Sales Order,Backordered,Wholesale,ERP,CUST-001163,Luis Wilson 1163,PO-690273,luis.wilson1163@examplecustomer.com,(232) 868-2104,ACC-COR-N866-SL-0183,ITM-000183,CoreByte N866-SL Webcam,Accessory,Webcam,CoreByte,EA,2,0,0,2,90.07,180.14,0.00,0.00,0.0000,0.00,19.99,200.13,USD,ACH Prepaid,Wire,Refunded,INV-2025-000017,2025-05-02,WH-MIA-01,Z14-A29-R081-S02-B02,Z14,A29,R081,S02,B02,Luis Wilson 1163,6035 Maple Rd,,Austin,TX,78703,USA,UPS,Ground,,2025-05-03,,jmartinez,2025-05-02 11:15:00,2025-05-07 07:24:00
SO-2025-000018,1,EXT-RET-95136173,2025-09-20,Replacement,Allocated,Retail Store,Shopify,CUST-000218,Melissa Anderson,,melissa.anderson218@examplecustomer.com,(390) 263-5268,COM-QUA-N462-PRO-0612,ITM-000612,QuantumGear N462-PRO Laptop,Computer,Laptop,QuantumGear,EA,4,4,0,0,1271.00,5084.00,0.00,0.00,7.5000,381.30,7.99,5473.29,USD,Net 15,Net Terms,Refunded,INV-2025-000018,2025-09-21,WH-MIA-01,Z16-A36-R062-S02-B05,Z16,A36,R062,S02,B05,Melissa Anderson,7050 Palm Ave,,Charlotte,NC,28278,USA,USPS,Priority,,2025-09-25,,edi_user,2025-09-20 02:31:00,2025-09-30 20:59:00
SO-2025-000019,1,EXT-MAR-23792853,2025-10-27,Sales Order,Allocated,Marketplace,ERP,CUST-000187,Kimberly Thompson,PO-651125,kimberly.thompson187@examplecustomer.com,(367) 232-2104,MOU-QUA-N794-PLUS-0894,ITM-000894,QuantumGear N794-PLUS Gaming Mouse,Mouse,Gaming Mouse,QuantumGear,EA,1,1,0,0,149.22,149.22,0.00,0.00,8.2500,12.31,99.99,261.52,USD,ACH Prepaid,PayPal,Invoiced,INV-2025-000019,2025-10-29,WH-MIA-01,Z07-A01-R036-S03-B02,Z07,A01,R036,S03,B02,Kimberly Thompson,6491 Brickell Ln,,Phoenix,AZ,85087,USA,UPS,Ground,,2025-10-30,,jmartinez,2025-10-27 06:21:00,2025-11-03 00:46:00
SO-2025-000020,1,EXT-MAR-54722053,2025-08-20,Sales Order,Shipped,Marketplace,Shopify,CUST-000625,Michael Garcia,PO-317765,michael.garcia625@examplecustomer.com,(586) 753-2402,KEY-ZEN-R580-BK-0803,ITM-000803,Zenith Digital R580-BK Wireless Keyboard,Keyboard,Wireless Keyboard,Zenith Digital,EA,2,2,2,0,196.39,392.78,20.00,78.56,7.0000,22.00,49.99,386.21,USD,Net 30,Amex,Refunded,INV-2025-000020,2025-08-23,WH-MIA-01,Z13-A12-R045-S04-B05,Z13,A12,R045,S04,B05,Michael Garcia,7577 Washington Blvd,,Seattle,WA,98180,USA,DHL,Standard Freight,DH42339523030,2025-08-23,2025-08-26,jmartinez,2025-08-20 15:18:00,2025-08-23 05:16:00
SO-2025-000021,1,EXT-RET-81736836,2025-06-17,Sales Order,Packed,Retail Store,Amazon,CUST-000944,Michelle Taylor 944,PO-639238,michelle.taylor944@examplecustomer.com,(415) 205-6924,STO-VOL-P551-PRO-0597,ITM-000597,VoltEdge P551-PRO External SSD,Storage,External SSD,VoltEdge,EA,4,4,0,0,405.27,1621.08,0.00,0.00,0.0000,0.00,9.99,1631.07,USD,Net 45,Mastercard,Paid,INV-2025-000021,2025-06-17,WH-MIA-01,Z06-A19-R026-S03-B02,Z06,A19,R026,S03,B02,Michelle Taylor 944,8047 Sunset Rd,,Chicago,IL,60630,USA,USPS,Economy,US26181110927,2025-06-22,2025-06-24,mchen,2025-06-17 23:12:00,2025-06-18 04:21:00
SO-2025-000022,1,EXT-E-C-10554552,2025-09-07,Sales Order,Allocated,E-commerce,ERP,CUST-000887,Matthew Young,,matthew.young887@examplecustomer.com,(558) 840-6171,STO-SIG-P266-MAX-0428,ITM-000428,SignalMax P266-MAX NAS Drive,Storage,NAS Drive,SignalMax,EA,1,1,0,0,52.50,52.50,5.00,2.62,8.2500,4.12,9.99,63.99,USD,ACH Prepaid,Visa,Authorized,INV-2025-000022,2025-09-10,WH-MIA-01,Z06-A07-R091-S02-B05,Z06,A07,R091,S02,B05,Matthew Young,5202 Maple Ln,,New York,NY,10051,USA,USPS,Priority,,2025-09-09,,mchen,2025-09-07 20:28:00,2025-09-11 23:05:00
SO-2025-000023,1,EXT-WHO-78659011,2025-02-11,Sales Order,Processing,Wholesale,ERP,CUST-000655,Michelle Green,PO-680104,michelle.green655@examplecustomer.com,(283) 730-1112,COM-APE-G830-BK-0169,ITM-000169,ApexTech G830-BK Laptop,Computer,Laptop,ApexTech,EA,12,12,0,0,2475.40,29704.80,15.00,4455.72,6.0000,1514.94,0.00,26764.02,USD,ACH Prepaid,Wire,Paid,INV-2025-000023,2025-02-11,WH-MIA-01,Z05-A04-R031-S01-B04,Z05,A04,R031,S01,B04,Michelle Green,9831 Highland Ave,,Philadelphia,PA,19177,USA,DHL,Ground,,2025-02-14,,system,2025-02-11 21:22:00,2025-02-13 18:53:00
SO-2025-000024,1,EXT-E-C-60632934,2025-01-13,Sales Order,New,E-commerce,Amazon,CUST-000839,Mary Garcia 839,PO-434446,mary.garcia839@examplecustomer.com,(366) 794-1383,MON-ZEN-P926-BK-0795,ITM-000795,Zenith Digital P926-BK Portable Monitor,Monitor,Portable Monitor,Zenith Digital,EA,1,0,0,0,661.42,661.42,0.00,0.00,7.0000,46.30,99.99,807.71,USD,Net 15,Wire,Refunded,,,WH-MIA-01,Z19-A40-R055-S07-B04,Z19,A40,R055,S07,B04,Mary Garcia 839,829 Sunset Rd,,Jacksonville,FL,32250,USA,DHL,Ground,,2025-01-16,,kpatel,2025-01-13 21:28:00,2025-01-17 06:34:00
SO-2025-000025,1,EXT-WHO-32358742,2025-01-23,Sales Order,Shipped,Wholesale,Shopify,CUST-001070,Daniel Gonzalez,PO-641465,daniel.gonzalez1070@examplecustomer.com,(294) 493-3463,ACC-ZEN-X310-PRO-0578,ITM-000578,Zenith Digital X310-PRO Laptop Stand,Accessory,Laptop Stand,Zenith Digital,EA,1,1,1,0,16.79,16.79,15.00,2.52,7.0000,1.00,49.99,65.26,USD,Net 15,ACH,Authorized,INV-2025-000025,2025-01-23,WH-MIA-01,Z08-A36-R022-S05-B03,Z08,A36,R022,S05,B03,Daniel Gonzalez,9734 Elm Ter,,Boston,MA,02159,USA,FedEx,Priority,FE59750422220,2025-01-27,2025-01-24,jmartinez,2025-01-23 19:06:00,2025-01-26 00:46:00
SO-2025-000026,1,EXT-E-C-17525960,2025-10-29,Sales Order,Delivered,E-commerce,ERP,CUST-001010,Stephanie Gonzalez 1010,PO-292776,stephanie.gonzalez1010@examplecustomer.com,(311) 413-8085,AUD-APE-N279-BK-0456,ITM-000456,ApexTech N279-BK Headphones,Audio,Headphones,ApexTech,EA,1,1,1,0,666.98,666.98,20.00,133.40,7.0000,37.35,0.00,570.93,USD,Credit Card,ACH,Paid,INV-2025-000026,2025-10-29,WH-MIA-01,Z02-A22-R088-S01-B01,Z02,A22,R088,S01,B01,Stephanie Gonzalez 1010,2812 Washington Rd,,Chicago,IL,60631,USA,UPS,Ground,UP29049941637,2025-11-01,2025-11-02,edi_user,2025-10-29 18:38:00,2025-11-02 19:39:00
SO-2025-000027,1,EXT-RET-47115639,2025-07-19,Sales Order,Picked,Retail Store,EDI,CUST-000285,Daniel Rodriguez 285,PO-643055,daniel.rodriguez285@examplecustomer.com,(271) 857-2238,ROU-OMN-R209-PRO-0725,ITM-000725,OmniLink R209-PRO Mesh Router,Router,Mesh Router,OmniLink,EA,1,1,0,0,667.16,667.16,20.00,133.43,8.2500,44.03,49.99,627.75,USD,COD,Net Terms,Paid,INV-2025-000027,2025-07-21,WH-MIA-01,Z04-A29-R083-S02-B03,Z04,A29,R083,S02,B03,Daniel Rodriguez 285,3296 Coral Way,,Tampa,FL,33642,USA,XPO,Standard Freight,XP52728372760,2025-07-21,2025-07-25,jmartinez,2025-07-19 02:34:00,2025-07-29 06:24:00
SO-2025-000028,1,EXT-WHO-54771904,2025-05-15,Sales Order,Shipped,Wholesale,EDI,CUST-001041,Ashley Rodriguez 1041,PO-105752,ashley.rodriguez1041@examplecustomer.com,(355) 956-9973,CAB-VOL-X547-SL-0760,ITM-000760,VoltEdge X547-SL USB-C Cable,Cable,USB-C Cable,VoltEdge,EA,3,3,3,0,63.22,189.66,10.00,18.97,0.0000,0.00,7.99,178.68,USD,Credit Card,Amex,Invoiced,INV-2025-000028,2025-05-18,WH-MIA-01,Z06-A06-R095-S02-B04,Z06,A06,R095,S02,B04,Ashley Rodriguez 1041,9351 Coral Ln,,Tampa,FL,33664,USA,Old Dominion,Ground,OL55466112115,2025-05-20,2025-05-18,system,2025-05-15 05:12:00,2025-05-20 14:40:00
SO-2025-000029,1,EXT-RET-53841513,2025-12-01,Sales Order,Delivered,Retail Store,EDI,CUST-000551,Jessica Lopez,PO-333402,jessica.lopez551@examplecustomer.com,(211) 684-6624,KEY-PIX-P874-PRO-0699,ITM-000699,PixelPro P874-PRO Gaming Keyboard,Keyboard,Gaming Keyboard,PixelPro,EA,24,24,24,0,166.48,3995.52,20.00,799.10,8.7500,279.69,7.99,3484.10,USD,Net 45,ACH,Paid,INV-2025-000029,2025-12-02,WH-MIA-01,Z01-A22-R089-S01-B04,Z01,A22,R089,S01,B04,Jessica Lopez,2190 Cedar Ave,,Dallas,TX,75244,USA,USPS,2-Day,US18982267130,2025-12-03,2025-12-08,kpatel,2025-12-01 18:17:00,2025-12-07 12:58:00
SO-2025-000030,1,EXT-WHO-64372907,2025-05-05,Sales Order,Shipped,Wholesale,Amazon,CUST-001185,Carol Thompson,PO-864912,carol.thompson1185@examplecustomer.com,(369) 925-5795,KEY-OMN-P866-WH-0417,ITM-000417,OmniLink P866-WH Gaming Keyboard,Keyboard,Gaming Keyboard,OmniLink,EA,2,2,2,0,81.82,163.64,0.00,0.00,6.0000,9.82,12.99,186.45,USD,Net 15,Mastercard,Paid,INV-2025-000030,2025-05-07,WH-MIA-01,Z04-A06-R061-S08-B02,Z04,A06,R061,S08,B02,Carol Thompson,4865 Ocean St,,Fort Lauderdale,FL,33390,USA,XPO,Overnight,XP17563300055,2025-05-07,2025-05-12,mchen,2025-05-05 07:22:00,2025-05-14 13:28:00
SO-2025-000031,1,EXT-RET-95387271,2025-02-04,Sales Order,Delivered,Retail Store,EDI,CUST-000693,Nancy Lee,PO-384348,nancy.lee693@examplecustomer.com,(302) 708-9608,COM-OMN-G681-MAX-0679,ITM-000679,OmniLink G681-MAX All-in-One PC,Computer,All-in-One PC,OmniLink,EA,1,1,1,0,1674.93,1674.93,5.00,83.75,7.0000,111.38,49.99,1752.55,USD,Net 30,Visa,Refunded,INV-2025-000031,2025-02-05,WH-MIA-01,Z12-A02-R063-S02-B05,Z12,A02,R063,S02,B05,Nancy Lee,4072 Madison Blvd,,Charlotte,NC,28258,USA,Old Dominion,Overnight,OL57558441030,2025-02-06,2025-02-07,shopify_api,2025-02-04 08:25:00,2025-02-07 04:30:00
SO-2025-000032,1,EXT-MAR-53581428,2025-03-09,Sales Order,Processing,Marketplace,Manual Entry,CUST-000774,Deborah Jackson 774,PO-534641,deborah.jackson774@examplecustomer.com,(888) 373-3994,MOU-OMN-N234-MAX-0424,ITM-000424,OmniLink N234-MAX Ergonomic Mouse,Mouse,Ergonomic Mouse,OmniLink,EA,1,1,0,0,98.80,98.80,0.00,0.00,8.7500,8.64,7.99,115.43,USD,Net 45,Amex,Pending,INV-2025-000032,2025-03-10,WH-MIA-01,Z07-A19-R057-S01-B03,Z07,A19,R057,S01,B03,Deborah Jackson 774,7450 Elm Way,,Chicago,IL,60627,USA,XPO,Overnight,,2025-03-11,,mchen,2025-03-09 09:10:00,2025-03-12 19:27:00
SO-2025-000033,1,EXT-E-C-38319067,2025-01-19,Sales Order,Shipped,E-commerce,ERP,CUST-000713,Emily Martin 713,,emily.martin713@examplecustomer.com,(440) 477-3867,COM-SIG-A492-PRO-0511,ITM-000511,SignalMax A492-PRO Mini PC,Computer,Mini PC,SignalMax,EA,2,2,2,0,2754.54,5509.08,20.00,1101.82,7.5000,330.54,12.99,4750.79,USD,COD,Net Terms,Invoiced,INV-2025-000033,2025-01-19,WH-MIA-01,Z11-A14-R072-S07-B02,Z11,A14,R072,S07,B02,Emily Martin 713,8741 Lincoln St,,Nashville,TN,37221,USA,XPO,Ground,XP25643538021,2025-01-21,2025-01-25,mchen,2025-01-19 17:40:00,2025-01-24 06:08:00
SO-2025-000034,1,EXT-WHO-33404227,2025-02-14,Sales Order,Delivered,Wholesale,Amazon,CUST-001192,William Martinez 1192,PO-481827,william.martinez1192@examplecustomer.com,(866) 983-2678,COM-QUA-P274-MAX-0540,ITM-000540,QuantumGear P274-MAX Desktop PC,Computer,Desktop PC,QuantumGear,EA,4,4,4,0,2796.33,11185.32,15.00,1677.80,6.0000,570.45,12.99,10090.96,USD,COD,PayPal,Paid,INV-2025-000034,2025-02-14,WH-MIA-01,Z15-A40-R065-S05-B02,Z15,A40,R065,S05,B02,William Martinez 1192,4634 Miramar Ave,Dock 10,Dallas,TX,75296,USA,DHL,2-Day,DH66490141382,2025-02-19,2025-02-20,mchen,2025-02-14 02:45:00,2025-02-21 05:24:00
SO-2025-000035,1,EXT-RET-67168569,2025-06-16,Sales Order,Shipped,Retail Store,Shopify,CUST-000913,Deborah Clark,,deborah.clark913@examplecustomer.com,(940) 542-9820,TV-OMN-X479-SL-0787,ITM-000787,OmniLink X479-SL LED TV,TV,LED TV,OmniLink,EA,10,10,10,0,1768.87,17688.70,0.00,0.00,8.7500,1547.76,0.00,19236.46,USD,Credit Card,Visa,Pending,INV-2025-000035,2025-06-16,WH-MIA-01,Z02-A09-R065-S01-B01,Z02,A09,R065,S01,B01,Deborah Clark,187 Maple Way,,Boston,MA,02165,USA,UPS,2-Day,UP37473093476,2025-06-17,2025-06-20,edi_user,2025-06-16 18:43:00,2025-06-25 05:00:00
